<s>	<s>	1	0
バス	ばす	171b1	b
面白い	おもしろい	547ad	f
気	き	3dd8c	f
すべて	すべて	450d	f
素敵	すてき	47a47	b
名	な	2a04e	f
いただい	いただい	aaf	f
美味しい	おいしい	48d2b	f
お客様	おきゃくさま	1af9	f
全部	ぜんぶ	2520a	f
よい	よい	9110	f
頂き	いただき	5499a	f
ヶ月	かげつ	1f2b8	9
しばらく	しばらく	3df8	f
乗っ	のっ	2165b	f
更新	こうしん	3a13b	f
形	かたち	338de	f
歩い	あるい	3d693	f
山	やま	31027	f
そのまま	そのまま	4996	f
全然	ぜんぜん	2518a	f
る	る	93d8	f
得	とく	33db0	f
イベント	いべんと	b003	f
変わっ	かわっ	2cb0e	f
買い	かい	4eea7	f
感謝	かんしゃ	355f6	f
理解	りかい	428a8	f
生	なま	42b31	b
入る	はいる	24ec1	f
息子	むすこ	34ed8	b
待っ	まっ	33b3e	f
個人	こじん	24327	f
ああ	ああ	21b	f
様子	ようす	3cbe7	f
活動	かつどう	3f31c	f
午後	ごご	28261	f
決め	きめ	3e7ec	f
見える	みえる	4cf84	f
ダメ	だめ	13bd2	f
ネット	ねっと	1655a	f
口	くち	2940e	f
なに	なに	633c	f
向け	むけ	2a2aa	f
周り	まわり	2a6b5	f
イメージ	いめーじ	b060	f
不安	ふあん	20795	9
なし	なし	6273	f
終了	しゅうりょう	47cb0	f
なれ	なれ	6473	f
感じる	かんじる	35576	f
可能性	かのうせい	298bb	f
子ども	こども	2eab8	f
ひとつ	ひとつ	7368	f
誰か	だれか	4e336	f
自然	しぜん	4a1d1	f
覚え	おぼえ	4d42a	f
のみ	のみ	6a06	f
チーム	ちーむ	14303	f
半	はん	28269	f
やつ	やつ	8dfb	b
わかっ	わかっ	9485	f
動き	うごき	27766	f
いろんな	いろんな	d4f	f
使い	つかい	23c76	f
対応	たいおう	3013f	f
約	やく	477aa	f
駅	えき	55887	f
大	おお	2d16d	b
基本	きほん	2c2c2	f
どの	どの	607a	f
レベル	れべる	1e696	b
身体	しんたい	4fc15	f
ちゃい	ちゃい	5205	f
完全	かんぜん	2f266	f
経験	けいけん	47ef4	f
いま	いま	c78	f
作る	つくる	23b41	f
会	かい	23266	f
今後	こんご	227a1	f
いたし	いたし	aa2	b
大学	だいがく	2d4e8	f
意識	いしき	353c6	f
絵	え	48145	f
少ない	すくない	30b76	f
パン	ぱん	17b55	f
おやすみ	おやすみ	1929	f
それぞれ	それぞれ	4a4c	b
よろしく	よろしく	92ed	f
うん	うん	11f0	f
つもり	つもり	5833	f
サイト	さいと	10343	f
戻っ	もどっ	35d19	f
探し	さがし	3756e	f
お腹	おなか	1c90	b
商品	しょうひん	2ad4a	f
痛い	いたい	4396a	9
原因	げんいん	28a7c	f
天気	てんき	2de8c	f
とこ	とこ	5c2e	b
行動	こうどう	4c405	f
着	き	44b30	f
親	おや	4d484	f
枚	ばい	3bb22	f
非常	ひじょう	546d2	b
雰囲気	ふんいき	5405b	f
利用	りよう	26c08	b
変え	かえ	2caf2	f
もし	もし	8a2a	f
帰宅	きたく	32278	f
番	ばん	436f3	f
音楽	おんがく	54908	f
見つけ	みつけ	4d01b	f
社会	しゃかい	455eb	f
早い	はやい	394df	b
残っ	のこっ	3d8ea	f
日本人	にっぽんにん	391db	0
人気	にんき	22563	f
休み	やすみ	231de	f
元	もと	2492d	f
嫌	いや	2ea37	9
おき	おき	145f	f
とにかく	とにかく	5d1a	f
ねえ	ねえ	673e	9
画像	がぞう	4357c	f
最高	さいこう	3a4b0	f
行か	いか	4c320	f
思え	おもえ	34b10	f
落ち	おち	4b629	b
怖い	こわい	34955	9
長い	ながい	52b3c	f
ファン	ふぁん	188fe	b
興味	きょうみ	4a3c9	f
続い	つづい	482a0	f
やめ	やめ	8e93	f
あたり	あたり	4b2	f
ポイント	ぽいんと	1ae69	f
ごめん	ごめん	34e1	b
国民	こくみん	2b8fd	f
パソコン	ぱそこん	17848	f
ママ	まま	1b894	f
食事	しょくじ	55206	f
飲み	のみ	55388	f
当然	とうぜん	33896	f
携帯	けいたい	37a90	f
久々	ひさびさ	214c8	f
訳	わけ	4dc62	b
買う	かう	4ef88	f
小さな	ちいさな	30456	f
私たち	わたくしたち	45d86	0
海	うみ	3f890	f
バイト	ばいと	1705d	f
大人	おとな	2d256	b
料理	りょうり	38883	f
悪く	わるく	3505c	9
普段	ふだん	39d14	f
移動	いどう	4609c	f
歌	うた	3d1e5	f
方々	かたがた	38ec5	f
女	おんな	2e4bd	b
強く	つよく	33662	b
我が家	わがや	35af2	f
季節	きせつ	2ec96	f
行こう	いこう	4c3d5	f
昨年	さくねん	39ab0	f
使わ	つかわ	23cea	f
もっ	もっ	8ae4	f
きれい	きれい	2949	b
安心	あんしん	2f125	f
香り	かおり	55655	f
沢山	たくさん	3e99d	f
ホテル	ほてる	1a859	b
近い	ちかい	50354	f
秋	あき	45e16	f
大会	たいかい	2d296	f
側	がわ	245f8	f
ち	ち	50f5	8
逆	ぎゃく	508bf	f
地震	じしん	2bf1a	f
散歩	さんぽ	3846c	f
無事	ぶじ	41290	f
感	かん	35566	f
三	さん	1f9bb	f
父	ちち	41b7f	f
ずつ	ずつ	4694	f
やっぱ	やっぱ	8df6	9
続き	つづき	482a3	f
空	そら	46430	f
見せ	みせ	4cfcb	f
どれ	どれ	60b9	f
冬	ふゆ	25da2	f
公園	こうえん	254aa	f
みよう	みよう	865f	9
現実	げんじつ	4278e	f
コース	こーす	ff4e	f
アメリカ	あめりか	a354	f
負け	まけ	4ebe7	9
似	に	234e8	f
らしく	らしく	9338	f
ほか	ほか	7d68	f
遊び	あそび	50fa5	b
調べ	しらべ	4e381	f
撮っ	とっ	37cea	f
帰る	かえる	3224b	f
置い	おい	48ba0	f
環境	かんきょう	429c2	f
多分	たぶん	2cee3	f
タイプ	たいぷ	13499	b
男性	だんせい	43483	b
今朝	けさ	227d7	f
変化	へんか	2cb49	f
ぶり	ぶり	7b2a	f
過去	かこ	5118d	f
行け	いけ	4c3ca	f
到着	とうちゃく	26c61	f
夕方	ゆうがた	2cc8c	f
成長	せいちょう	35ace	f
政府	せいふ	3813c	f
生まれ	うまれ	42c3a	f
ライブ	らいぶ	1d425	f
連れ	つれ	50d18	f
金	きん	520d7	f
やばい	やばい	8e2e	9
デザイン	でざいん	14d51	f
日々	ひび	39040	f
さま	さま	3a41	f
いれ	いれ	d1f	f
うまく	うまく	10ba	f
不思議	ふしぎ	207e7	f
野菜	やさい	52058	f
結婚	けっこん	47f78	b
健康	けんこう	245a7	f
頂い	いただい	54998	f
高校	こうこう	55df3	f
たまに	たまに	4e8b	f
号	ごう	29a10	f
わかる	わかる	949b	f
女の子	おんなのこ	2e4cf	f
必ず	かならず	345b7	f
事件	じけん	21b59	9
地域	ちいき	2bdd7	b
う	う	d95	8
っと	っと	5398	b
韓国	かんこく	54892	9
カメラ	かめら	d47b	f
超	ちょう	4f678	b
当時	とうじ	33889	f
お前	おまえ	1a50	9
薬	くすり	4bc37	b
り	り	9377	f
まったく	まったく	8238	f
小さい	ちいさい	3044d	b
信じ	しんじ	24092	f
種類	しゅるい	461fe	f
大きい	おおきい	2d181	f
過ごし	すごし	51157	f
行わ	おこなわ	4c3ea	f
コメント	こめんと	fbf9	f
正直	しょうじき	3d461	f
印象	いんしょう	2889a	f
愛	あい	35423	b
笑顔	えがお	46e24	f
アニメ	あにめ	9fde	f
前回	ぜんかい	26ea1	f
思い出し	おもいだし	34a2a	f
つまり	つまり	57c9	f
居	い	30e1a	f
出す	だす	2612d	f
メンバー	めんばー	1c7ac	f
暑い	あつい	39eb3	f
実家	じっか	2f5f5	f
意外	いがい	3538b	b
機会	きかい	3cf81	f
全体	ぜんたい	25099	f
連絡	れんらく	50df2	f
人たち	ひとたち	223f8	f
もう少し	もうすこし	89af	f
にて	にて	65ca	f
代	だい	22c46	f
来年	らいねん	3b285	f
カード	かーど	d87f	f
個	こ	24323	f
かかっ	かかっ	1e2e	f
自身	じしん	4a2e9	f
判断	はんだん	26a84	f
キャラ	きゃら	e112	9
付け	つけ	22b32	f
十分	じゅうふん	27fb2	0
っぽい	っぽい	53a8	b
記憶	きおく	4db3e	f
設定	せってい	4dbf0	f
書き	かき	3a163	f
かー	かー	256d	b
セット	せっと	12d45	f
すでに	すでに	44d6	f
ほぼ	ほぼ	7eb2	f
横	よこ	3ccfb	f
どちら	どちら	6043	9
応援	おうえん	347b0	f
大阪	おおさか	2dc2b	f
まじ	まじ	815d	f
去年	きょねん	28c2d	f
可能	かのう	298b8	f
みなさん	みなさん	85bf	f
体調	たいちょう	2397d	f
楽	らく	3ca69	f
目的	もくてき	443a6	f
ケーキ	けーき	f5cb	f
一方	いっぽう	1f53b	f
走っ	はしっ	4f518	f
合わせ	あわせ	29bd5	f
猫	ねこ	42369	f
予約	よやく	21b04	f
企業	きぎょう	22eff	f
若い	わかい	4ac85	b
ピンク	ぴんく	1870d	f
原発	げんぱつ	28b55	9
こっち	こっち	31f4	9
限り	かぎり	536a7	f
素晴らしい	すばらしい	47a57	f
感覚	かんかく	355ea	f
ページ	ぺーじ	1a6a3	f
今週	こんしゅう	22838	f
分かり	わかり	2648e	f
風邪	かぜ	54eb8	f
ホント	ほんと	1a9f7	f
調子	ちょうし	4e3b0	f
一部	いちぶ	1f797	f
戦	いくさ	35b67	9
中心	ちゅうしん	20eec	f
もらう	もらう	8c74	b
神	かみ	457dd	b
トイレ	といれ	150ec	9
肌	はだ	497a5	9
旅行	りょこう	38fb3	f
はい	はい	6ab9	f
どうか	どうか	5fb3	f
お話	おはなし	1cee	f
会場	かいじょう	232ac	f
求め	もとめ	3e515	f
予想	よそう	21ad7	f
重要	じゅうよう	51e5d	f
さえ	さえ	37d1	f
仲間	なかま	22ea0	f
この日	このひ	32ab	f
聞く	きく	495fb	f
嫌い	きらい	2ea39	f
発表	はっぴょう	43b83	f
対する	たいする	30109	f
違っ	ちがっ	51364	f
是非	ぜひ	39b45	f
民主党	みんしゅとう	3dccc	9
地元	じもと	2bd9b	f
持つ	もつ	36d86	f
気になっ	きになっ	3de76	f
どんどん	どんどん	60ea	f
感動	かんどう	355a6	b
かかる	かかる	1e38	f
プレゼント	ぷれぜんと	19cb2	f
機能	きのう	3cff0	f
一般	いっぱん	1f6e0	f
光	ひかり	24c12	f
マジ	まじ	1b49d	9
ちょうど	ちょうど	52a1	f
涙	なみだ	3fbcc	b
対策	たいさく	30190	f
楽しく	たのしく	3ca7e	f
発見	はっけん	43b89	f
向かっ	むかっ	2a27b	f
聞き	きき	4952a	f
書く	かく	3a2af	f
変	へん	2caf1	f
はじめ	はじめ	6c95	f
木	き	3a9e7	f
以下	いか	22d2c	b
おいしい	おいしい	1345	f
質問	しつもん	4f270	f
旦那	だんな	39425	f
皆さん	みなさん	43ff5	f
有名	ゆうめい	3a666	f
かしら	かしら	2085	f
答え	こたえ	47086	f
させ	させ	3973	f
痛み	いたみ	43986	9
チェック	ちぇっく	13d90	f
病気	びょうき	43915	9
分かっ	わかっ	26489	f
辛い	つらい	50132	9
先輩	せんぱい	24be7	f
年間	ねんかん	327cf	f
降っ	ふっ	535e8	f
お昼	おひる	1b9d	f
番組	ばんぐみ	43725	f
風呂	ふろ	54e08	f
奥	おく	2e380	f
スタッフ	すたっふ	12200	f
続く	つづく	482aa	f
カラー	からー	d548	b
おく	おく	148f	f
台	だい	298cf	f
あんまり	あんまり	848	b
スーパー	すーぱー	12a5c	f
ネタ	ねた	1651a	b
ダイエット	だいえっと	1397c	b
あろう	あろう	7df	9
ぜひ	ぜひ	4882	f
ラーメン	らーめん	1d96e	f
ニュース	にゅーす	16242	f
開催	かいさい	52faa	f
先週	せんしゅう	24bee	f
スタート	すたーと	122a0	f
展開	てんかい	30f9b	f
犬	いぬ	4203d	f
離れ	はなれ	53e04	f
咲い	さい	2aae4	f
やすみ	やすみ	8d98	f
知れ	しれ	44df2	f
自宅	じたく	4a103	f
運動	うんどう	5108f	f
たぶん	たぶん	4e6a	f
遊ん	あそん	50ff5	b
交換	こうかん	2223a	f
サービス	さーびす	10a5e	f
自転車	じてんしゃ	4a2ef	f
取っ	とっ	28f33	f
読み	よみ	4e1fe	f
与え	あたえ	20962	f
テスト	てすと	147f2	f
髪	かみ	560b4	f
授業	じゅぎょう	3735d	f
性	せい	34c28	9
余裕	よゆう	23aca	f
さっき	さっき	39a2	f
めっちゃ	めっちゃ	8908	9
英語	えいご	4aee1	f
登場	とうじょう	43c14	f
治療	ちりょう	3ebe3	9
シーン	しーん	116e5	f
買い物	かいもの	4ef5c	f
送っ	おくっ	50771	f
ようやく	ようやく	9136	f
描い	えがい	3782c	f
開始	かいし	52fd0	f
彼ら	かれら	33a6c	f
毎年	まいとし	3db25	f
